,label,affairVoteId,meaningYesText,meaningNoText,numYes,numNo,numAbst,section,art_id,orientation,progvscons
785,"802, vote 3 : Commission (major.) contre A-802.04 VLR/AC/ZUK/PS-GC/SVPO/UDCVR (proport.)",20211104104938,Le Conseil d'Etat est élu selon un scrutin majoritaire,Le Conseil d'Etat est élu selon un scrutin proportionnel,47,70,1,1ère lecture - Commission 8,802,0,1
789,"801, vote 1 : Commission [CE/SR 7] contre A-801.01 ZUK/SVPO/CVPO [CE/SR 5]",20211104093957,Le Conseil d'État est composé de sept membres.,Le Conseil d'État est composé de <s>sept</s> <u>cinq</u> membres.,81,37,0,1ère lecture - Commission 8,801,0,0
813,"710, al.5, vote 13 : Commission contre résultat V/A 12",20211102151649,La loi peut fixer une proportion minimale de suffrages à atteindre dans une circonscription pour qu’une liste soit prise en compte lors de la répartition des sièges. Cette proportion ne peut excéder 5%.,... Cette proportion ne peut excéder <s>5%</s> <u>3%</u>,71,44,0,1ère lecture - Commission 7,710,1,1
816,"710, al.4, vote 10 : Commission contre résultat V/A 9",20211102150458,"Dès que la population du Haut-Valais tombe au-dessous de 25%, sa perte de sièges au Grand Conseil est divisée par deux.",(Pas de clause de protection),66,46,3,1ère lecture - Commission 7,710,0,-1
819,"710, al.4, vote 7 : Résultat V/A 6 contre A-710.21 UDCVR/SVPO + A-710.24 PDCVr",20211102150210,"(Amendement A-710.26 CSPO)<br/>
La répartition des sièges a lieu comme suit :<br/>
a) 5 sièges sont attribués à chaque circonscription électorale; <br/>
b) Les 100 sièges restants sont répartis entre les circonscriptions électorales en proportion de leur population <b>résidante</b>",La répartition des sièges est effectuée en proportion de la population <b>suisse</b>.,60,46,10,1ère lecture - Commission 7,710,-1,-1
824,"710, al.3, vote 2 : Commission contre M-710 / PS-GC/VLR/SVPO/G.Schmid",20211102120001,La loi instaure des sous-circonscriptions électorales,(néant = pas de sous-circonscriptions),47,64,4,1ère lecture - Commission 7,710,1,-1
827,"709, vote 6 : Commission contre résultat V/A 5",20211102104915,La loi instaure un système de suppléance. Le nombre de suppléantes et suppléants ne peut excéder 85.,Le Grand Consei est composé de 130 députées et députés <u> et 130 suppléantes et suppléants</u>,43,74,1,1ère lecture - Commission 7,709,0,0
832,"709, vote 1 : Commission contre M-709.01 Darbellay etc.",20211102104408,Le Grand Conseil est composé de 130 députées et députés.,Le Grand Conseil est composé de <s>130</s> <u>110</u> députées et députés.,73,40,5,1ère lecture - Commission 7,709,0,1
843,"311, vote 4 : Commission contre A-311.40 UDCVR/VLR/CVPO/Perruchoud ",20211021170730,"<b>Art. 311 Représentation des femmes et des hommes dans les autorités politiques</b><br/>
1 Si la répartition entre femmes et hommes dans les autorités politiques est durablement déséquilibrée, la loi peut prévoir une mesure limitée dans le temps visant à corriger ce déséquilibre.<br/>
2 L’Etat prend des mesures pour permettre aux personnes élues de concilier leur vie familiale et professionnelle avec leur charge publique.",(néant),64,48,2,1ère lecture - Commission 3,311,-1,-1
866,"303, vote 3 : Commission contre résultat V/A 2",20211021145605,(néant),"L'un des membres du Conseil des Etats est choisi parmi la population des régions de Brigue et Viège si, lors de la précédente élection du Conseil des Etats, aucun membre élu du Conseil des Etats n'était domicilié dans ces régions.",74,34,10,1ère lecture - Commission 3,303,0,-1
869,"301, al.5, vote 6 : Commission contre Minorité M-301.02 ",20211021121539,La loi ne peut restreindre la titularité des droits politiques.,"(biffer cet alinéa, autrement dit permettre à la loi de retirer les droits politiques à certaines personnes, notamment les personnes handicapées)",66,47,3,1ère lecture - Commission 3,301,-1,-1
871,"301, vote 4 : Commission (y.c. V/A 2-3) contre résultat V/A 3",20211021121401,"Droit de vote et d'éligibilité au plan communal pour les personnes étrangères <a href=""https://www.vs.ch/web/spm/autorisation-d-etablissement"">titulaires d'un permis d'établissement</a> et domiciliées depuis au moins un an dans le canton",Droit de vote et d'éligibilité réservé aux personnes suisses,66,48,2,1ère lecture - Commission 3,301,-1,-1
892,"1009, vote 1 : Commission contre A-1009.17 VLR/UDCVR",20211019160140,Le conseil communal se compose de cinq à neuf membres,Le conseil communal se compose de <s>cinq</s> <u>trois</u> à <s>neuf</s> <u>onze</u> membres,44,65,5,1ère lecture - Commission 10,1009,0,-1
898,"1008, al.2, vote 2 : A-1008.15 ZUK-VS = Commission Oui-Ja / Non-Nein",20211019153546,"Par scrutin populaire, le corps électoral peut renoncer à l’institution d’un conseil général dans les communes <s>de plus de 5000</s> <u>comptant entre 5000 et 10 000</u> habitantes et habitants ou en élire un dans celles qui comptent moins de 5000 habitantes et habitants.","Par scrutin populaire, le corps électoral peut renoncer à l’institution d’un conseil général dans les communes de plus de 5000 habitantes et habitants ou en élire un dans celles qui comptent moins de 5000 habitantes et habitants.",53,59,4,1ère lecture - Commission 10,1008,-1,-1
918,"219, vote 5 : Résultat V/A 1-4 contre A-219.58 Burri ",20211019112034,"<b>Art. 219 Intégrité et identité numériques</b><br/>
1 Toute personne a droit à son intégrité numérique, notamment sa capacité d’interagir librement par le biais de technologies numériques.<br/>
2 Toute personne a droit à un accès ouvert et sans discrimination au réseau internet.<br/>
3 Toute personne a le droit de contrôler et de disposer de son identité numérique, notamment à des fins d’identification et d’accès à des services.",(biffer l'article),86,29,1,1ère lecture - Commission 2,219,0,-1
935,"210, vote 1 : Commission contre A-210.36 SVPO/PDCVr/VLR/CVPO/UDCVR",20211019101815,"Toute personne a le droit de vivre dans un environnement sain, sûr et durable.",(biffer l'article),49,61,5,1ère lecture - Commission 2,210,0,-1
946,"205, vote 2 : Commission contre résultat V/A 2",20211007121936,"(alinea 2) L'intérêt supérieur de l'enfant, son droit de participation et son droit d'être entendu sont garantis pour toutes les décisions ou les procédures qui le concerne, dès son plus jeune âge.","(alinea 2) ... ou les procédures qui le concerne, <s>dès son plus jeune âge</s> <u>dans la mesure où il est capable de discernement</u>.",65,59,0,1ère lecture - Commission 2,205,0,-1
948,"204, vote 2 : Commission (y.c. V/A 1) contre A-204.15 SVPO/UDCVR",20211007114814,"Tout être humain a droit à la vie, à la liberté personnelle, notamment à l’intégrité physique et psychique et à la liberté de mouvement, ainsi qu’à une fin de vie digne librement choisie.",... ainsi qu'à une fin de vie digne <s>librement choisie</s>.,64,45,15,1ère lecture - Commission 2,204,1,-1
953,"202, vote 7 : Commission (y.c. V/A 2+3) contre résultat V/A 6",20211007111758,"Nul ne doit subir de discrimination du fait notamment de ses origines, de son identité, de son apparence physique, de son sexe, de son état civil, de son orientation sexuelle, de son identité de genre, de son patrimoine génétique, de son âge, de sa langue, de sa situation sociale, de son mode de vie, de ses convictions religieuses, philosophiques ou politiques, ni du fait d’une différence physique, mentale ou psychique.","Nul ne doit subir de discrimination du fait notamment de son origine, de sa race, de son sexe, de son âge, de sa langue, de sa situation sociale, de son mode de vie, de ses convictions religieuses, philosophiques ou politiques ni du fait d’une déficience corporelle, mentale ou psychique. [art. 8 al. 2 Cst. féd.]",64,60,0,1ère lecture - Commission 2,202,-1,-1
967,"119, vote 4 : Commission contre A-119.99 AC",20211007093716,(néant),"A intervalles de 25 ans, le Grand Conseil examine l'opportunité d'une révision totale de la Constitution. S'il l'estime opportune, il soumet une demande de révision totale au vote du peuple.",72,48,4,1ère lecture - Commission 1,119,0,-1
982,"113a, vote 1 : Commission contre A-113a.73 VLR ",20211005171134,(néant),"<b>Art 113a (nouveau) Frais de culte </b>
<br/>
1. La loi définit les frais de culte.
<br/>
2. A l’exception des frais d’entretien et d’exploitation des lieux de culte, ils ne peuvent être financés que par la part d’impôt prélevée sur la base d’une déclaration volontaire, renouvelée annuellement, du contribuable.
<br/>
3. La part de l’impôt prélevée est détaillée et communiquée au contribuable concerné.",66,49,3,1ère lecture - Commission 1,113,0,1
997,"110, vote 3 :Commission contre résultat V/A 2",20211005152654,[L'Etat et les communes] soutiennent les dialectes et les patois.,[L'Etat et les communes] soutiennent les dialectes et les patois <u>ainsi que les langues des signes</u>.,41,77,4,1ère lecture - Commission 1,110,0,1
1016,"107, vote 3 : Commission contre résultat V/A 2",20211005120936,L’État promeut une représentation équilibrée des femmes et des hommes.,L’État <s>promeut</s> <u>vise</u> une représentation équilibrée des femmes et des hommes <u>dans tous les domaines de la vie publique</u>.,70,49,3,1ère lecture - Commission 1,107,1,1
1022,"105, vote 4 : Commission contre A-105.22 VLR",20211005113750,Les buts de l'Etat sont:...,Les buts de l'Etat sont: ... <u>j) (nouveau) la promotion et la mise en œuvre du développement durable</u> ...,54,61,6,1ère lecture - Commission 1,105,1,1
1023,"105, vote 3 : Commission contre A-105.20 PS-GC",20211005113706,Les buts de l'Etat sont: ... g) la préservation de l'environnement et des ressources naturelles. ...,Les buts de l'Etat sont: ... g) la préservation de l'environnement et des ressources naturelles <u> et l'atteinte de la neutralité climatique </u>.,81,39,2,1ère lecture - Commission 1,105,1,1
